open,high,low,close,volume,start
107891.64,107953.23,107336.52,107787.66,189.09126121,1970-01-21 06:01:40.800
108411.58,108483.76,107744.93,107881.37,217.99854978,1970-01-21 06:01:37.200
108549.77,108792.22,108383.39,108411.57,136.96480163,1970-01-21 06:01:33.600
108723.92,108731.37,108283.47,108549.77,121.05275181,1970-01-21 06:01:30.000
108673.77,108853.74,108348.52,108728.81,125.43601233,1970-01-21 06:01:26.400
108481.84,108734.34,108348.51,108669.37,104.1612081,1970-01-21 06:01:22.800
108532.39,108677.3,108091.74,108480,238.36145518,1970-01-21 06:01:19.200
108960.18,109260.91,108387,108532.4,220.63121942,1970-01-21 06:01:15.600
108768.9,109051.28,108516.96,108955.12,181.69052224,1970-01-21 06:01:12.000
108838.52,109000,108589.7,108768.9,395.4008525,1970-01-21 06:01:08.400
109000,109105.12,108431.4,108838.51,459.02856934,1970-01-21 06:01:04.800
109474.18,109801.46,108995.64,109000,218.54823715,1970-01-21 06:01:01.200
109752.94,109854.44,109350,109474.17,247.96948171,1970-01-21 06:00:57.600
109902.44,110077.55,109679.01,109752.95,205.24779106,1970-01-21 06:00:54.000
109711.71,110435.05,109655.47,109907.2,587.94432668,1970-01-21 06:00:50.400
109729.05,109924.28,109316.01,109711.72,453.98279559,1970-01-21 06:00:46.800
109246.31,109933,109021.41,109729.04,318.42098111,1970-01-21 06:00:43.200
109376.32,109405.19,109200.82,109246.31,65.95033522,1970-01-21 06:00:39.600
109280.98,109493.77,109197.89,109376.47,88.15880864,1970-01-21 06:00:36.000
109583.96,109629.17,109230.01,109280.98,82.30378527,1970-01-21 06:00:32.400
109458.74,109692.1,109458.74,109581.04,63.06652673,1970-01-21 06:00:28.800
109608.63,109764.66,109455.09,109458.26,65.8952831,1970-01-21 06:00:25.200
109494.3,109698.93,109382.16,109608.64,64.64627438,1970-01-21 06:00:21.600
109596.58,109689.99,109446.63,109494.31,58.13146003,1970-01-21 06:00:18.000
109742.64,109768.15,109569.95,109596.57,80.98007449,1970-01-21 06:00:14.400
109713.9,109903.23,109633.06,109742.64,103.54927843,1970-01-21 06:00:10.800
109625.92,109877.59,109558.91,109713.9,70.03535826,1970-01-21 06:00:07.200
109841.39,109861.48,109580,109621.73,94.4211527,1970-01-21 06:00:03.600
110300.25,110306.91,109787.01,109846.82,134.80666727,1970-01-21 06:00:00.000
109758.72,110321,109598.71,110300.24,249.16774075,1970-01-21 05:59:56.400
109887.48,110200,109606.7,109746.55,167.06018228,1970-01-21 05:59:52.800
109990.03,110022.68,109421.01,109887.46,167.65019438,1970-01-21 05:59:49.200
109533.92,110060.5,109265.01,109990.03,233.82636559,1970-01-21 05:59:45.600
109306.8,110420.08,109306.8,109533.92,819.08775138,1970-01-21 05:59:42.000
108746.17,109500,108541.72,109306.85,329.57172807,1970-01-21 05:59:38.400
108750.41,109100.13,108640.01,108750.99,144.36659374,1970-01-21 05:59:34.800
109047.05,109295.71,108704.18,108753.61,284.76975678,1970-01-21 05:59:31.200
108632.38,109242.18,108362.14,109047.05,370.73937527,1970-01-21 05:59:27.600
109334.6,109381.72,108500,108649.65,289.30273079,1970-01-21 05:59:24.000
109730.16,109927.98,108885.47,109334.62,404.63692795,1970-01-21 05:59:20.400
109585.04,109732.74,109443.66,109725.32,172.61390748,1970-01-21 05:59:16.800
